planet_name,orbital_period_days,transit_midpoint_bjd,transit_duration_hrs,transit_depth_ppm,planet_radius_earth,equilibrium_temp_k,insolation_earthflux,stellar_teff_k,stellar_radius_sun,stellar_logg_cgs,ra_deg,dec_deg,source
K01844.01,61.4913415,163.63194,9.627,3692.4,4.57,323.0,2.58,4796.0,0.598,4.656,294.35666,45.192959,Kepler
K07849.01,5.0263815,135.5595,4.384,77.2,0.84,1065.0,305.12,5783.0,0.962,4.418,299.14664,43.459831,Kepler
K01993.01,16.00351679,146.38812,4.001,668.3,18.01,586.0,27.83,5283.0,0.695,4.594,297.91864,45.347061,Kepler
K01865.01,1.86390886,132.19741,4.414,176.1,77.99,2902.0,16718.87,6689.0,3.381,3.594,299.87238,45.499592,Kepler
K02320.01,2.03743942,131.55893,3.103,112.5,0.82,1299.0,673.94,5751.0,0.774,4.577,295.841,47.681889,Kepler
K02322.01,332.74984,386.9102,14.77,518.1,2.55,302.0,1.97,6372.0,1.112,4.375,295.03903,43.95454,Kepler
K02326.01,45.60304785,171.32001,8.35,,,,,,,,293.69742,39.036388,Kepler
K02330.01,2.4681015,132.07692,2.83,172.8,1.22,1244.0,564.74,5516.0,0.872,4.466,298.84979,44.615009,Kepler
K02334.01,12.53449909,134.95078,6.02,,,,,,,,294.90765,40.278831,Kepler
K02349.01,215.15218,171.913,19.97,264.2,1.36,287.0,1.61,5914.0,0.828,4.563,294.53214,43.75441,Kepler
K02359.01,3.17275711,133.98944,5.404,313.2,1.27,966.0,206.07,5058.0,0.739,4.61,296.28696,44.022671,Kepler
K02158.02,6.68231249,132.18853,3.251,48.7,2.09,1350.0,784.74,5343.0,2.506,3.764,297.65143,40.352551,Kepler
K03969.01,0.73619448,132.08341,1.1148,247.3,1.84,2268.0,6218.56,6355.0,1.09,4.418,298.52603,40.612091,Kepler
K03970.01,10.18670759,132.51843,7.498,261.2,0.95,477.0,12.29,3995.0,0.555,4.694,295.11502,45.96648,Kepler
K03971.01,365.994154,217.68143,13.071,698.5,2.87,263.0,1.14,6074.0,0.965,4.466,279.85272,43.664459,Kepler
K03972.01,0.54028956,131.85133,3.619,293.5,21.45,2279.0,6356.72,5997.0,0.993,4.483,296.0878,41.316841,Kepler
K01673.01,2.49047468,133.44225,2.2003,222.2,1.53,1413.0,940.43,6067.0,0.997,4.433,290.73367,40.43116,Kepler
K01674.01,2.17257963,133.00429,1.5794,335.5,13.55,1518.0,1254.52,6038.0,0.971,4.34,290.2442,40.559269,Kepler
K01676.01,3.307669761,131.56743,1.672,243.1,3.87,1840.0,2710.89,5959.0,2.382,3.829,290.33612,40.653061,Kepler
K01678.01,3.183961388,132.865355,3.7875,39268.0,37.22,1615.0,1608.01,5716.0,1.76,3.963,289.81805,40.723919,Kepler
K07837.01,48.507991,148.3182,8.984,288.9,2.06,511.0,16.08,6031.0,0.966,4.476,297.92322,42.938789,Kepler
K01679.01,0.759766456,131.7904,5.323,480.5,29.02,2128.0,4850.1,6174.0,1.026,4.455,290.51105,40.708569,Kepler
K01785.01,1.219034472,132.100235,2.151,6923.8,9.82,1845.0,2734.97,5833.0,1.192,4.333,299.97183,45.809738,Kepler
K01954.01,7.37339245,134.0101,2.883,125.0,13.73,1098.0,344.18,6484.0,1.093,4.36,293.38184,46.098701,Kepler
K01742.01,4.70847097,134.153065,6.0503,32622.0,19.58,1202.0,493.0,6214.0,1.061,4.391,292.65988,46.159538,Kepler
K01806.01,2.404556949,131.67616,7.4918,408.7,4.69,1958.0,3474.41,6426.0,1.775,4.013,293.21356,46.175129,Kepler
K07850.01,66.119119,145.2356,3.086,862.0,3.0,452.0,9.89,5828.0,1.028,4.462,295.79788,43.570389,Kepler
K01745.01,0.982090079,131.701452,1.44892,5396.7,29.95,1568.0,1426.18,5472.0,0.742,4.573,284.9671,46.27626,Kepler
K01795.01,2.972047661,133.24987,1.198,5945.0,24.74,881.0,142.01,4491.0,0.711,4.58,300.41727,46.335991,Kepler
K02362.01,2.237180102,133.68185,1.4734,493.8,1.75,1134.0,390.02,5080.0,0.793,4.538,291.88126,44.555729,Kepler
K02391.01,0.93374232,131.52477,6.552,351.4,18.29,1638.0,1706.25,5553.0,0.806,4.577,292.77484,47.451099,Kepler
K02394.01,134.76308997,131.94463,8.77,,,,,,,,290.82733,47.446861,Kepler
K02396.01,0.495434094,133.458716,1.2496,287.9,1.57,2151.0,5088.43,5529.0,0.936,4.471,293.97278,50.645142,Kepler
K02446.01,8.48031302,135.86745,5.988,107.0,2.74,1510.0,1229.56,6541.0,2.43,3.778,298.74857,46.68047,Kepler
K00439.02,5.40534383,131.8513595,2.32,,,,,,,,296.40686,51.35815,Kepler
K02480.01,0.66682654,133.041202,0.7847,511.6,1.49,1183.0,461.55,3993.0,0.554,4.696,298.92639,44.00219,Kepler
K03973.01,0.882131829,131.900716,6.8106,3620.9,8.13,1963.0,3510.31,6168.0,0.911,4.482,296.11182,49.561951,Kepler
K03974.01,0.489682339,131.5738141,1.7495,431670.0,37.47,1251.0,580.4,3898.0,0.53,4.735,282.19308,43.733219,Kepler
K03975.01,364.751562,135.47514,13.057,1481.5,2.89,166.0,0.18,4386.0,0.63,4.629,291.58517,45.71579,Kepler
K03976.01,2.189098506,132.080937,5.1498,2533.7,29.7,1288.0,651.22,5681.0,0.859,4.551,285.87671,39.685951,Kepler
K03977.01,0.7088055,132.168239,3.6789,17575.0,41.08,2035.0,4055.22,5989.0,0.908,4.5,294.04828,38.364109,Kepler
K01682.01,88.821421,160.4918,9.35,393.7,234.99,634.0,38.13,5081.0,3.365,3.484,291.21811,40.839329,Kepler
K01689.01,1.507761203,132.942717,3.096,2773.7,31.77,1301.0,675.11,5069.0,0.818,4.53,298.88397,41.662079,Kepler
K01690.01,1.506019633,133.02809,2.408,136.9,1.08,1628.0,1660.03,6065.0,0.896,4.454,299.10248,41.887459,Kepler
K07838.01,0.572513875,131.776,2.353,49.3,0.52,1779.0,2365.45,5171.0,0.76,4.576,287.39417,43.080681,Kepler
K01691.01,35.14578122,136.493569,2.253,6789.4,32.5,480.0,12.6,5437.0,0.783,4.554,293.33807,42.016312,Kepler
K01694.01,3.690317047,131.542094,1.3784,465.5,20.23,1280.0,634.09,6120.0,1.054,4.395,294.01492,42.139191,Kepler
K01846.01,105.9566815,182.05127,6.9988,2286.4,3.79,324.0,2.59,5327.0,0.8,4.581,289.86963,46.72971,Kepler
K01966.01,2.95600563,134.06322,2.6717,76.1,0.81,1211.0,509.55,5668.0,0.916,4.472,299.77972,46.890469,Kepler
K01796.01,11.805707539,133.050811,2.0494,2052.1,18.48,1153.0,417.85,6065.0,1.891,3.888,294.91611,46.944977,Kepler
K07851.01,25.3710555,141.8015,3.739,78.6,1.43,779.0,87.17,6029.0,1.494,4.127,297.58942,43.516178,Kepler
K01957.01,1.38680229,132.532038,1.7065,242.3,29.33,2530.0,9703.01,6823.0,2.037,4.04,297.79224,46.935829,Kepler
K01827.01,8.58966893,132.01936,6.962,429.6,155.18,4900.0,136317.25,3837.0,80.307,0.829,298.77295,46.921246,Kepler
K01823.01,4.468456599,138.741584,1.4195,906.7,24.81,1081.0,321.94,5869.0,0.942,4.513,297.78775,47.098331,Kepler
K02500.01,0.933754669,132.44306,4.048,89.3,1.48,2475.0,8881.31,6443.0,1.457,4.146,292.77899,47.552216,Kepler
K02502.01,86.79876649,199.89506,2.99,,,,,,,,298.50989,48.240139,Kepler
K02515.01,164.57506747,222.03648,9.57,,,,,,,,286.2872,44.49371,Kepler
K02568.01,1.71030803,131.6107,2.718,216.0,1.32,1449.0,1039.18,5790.0,0.9,4.528,292.71548,41.943562,Kepler
K02570.01,79.9201319,197.21721,4.482,1326.8,1.81,217.0,0.53,3812.0,0.476,4.767,297.29269,48.11438,Kepler
K02575.01,199.3113,172.4242,6.43,383.6,1.64,278.0,1.42,5662.0,0.789,4.577,295.06677,43.98209,Kepler
K02584.01,157.82131,137.7418,12.42,192.3,1.59,377.0,4.75,6082.0,1.147,4.342,290.98767,47.976639,Kepler
K03978.01,2.28612573,133.53049,12.408,301.6,22.63,1433.0,993.96,6063.0,1.012,4.476,297.21194,47.027802,Kepler
K02162.02,199.66876,131.609,8.996,251.9,1.45,305.0,2.06,5678.0,0.921,4.409,285.69199,45.689388,Kepler
K03979.01,1.33254971,132.05415,4.69,158.3,1.36,1782.0,2377.19,6150.0,1.004,4.41,295.16199,46.76273,Kepler
K03980.01,0.469334634,131.736456,0.8864,340.4,2.4,2432.0,8264.27,5888.0,1.008,4.394,281.24307,42.254929,Kepler
K03981.01,0.849277809,132.17649,3.137,690.8,20.11,1781.0,2366.84,5743.0,0.853,4.553,296.99405,41.129471,Kepler
K01695.01,71.4523167,148.80814,6.276,216.9,2.19,561.0,23.44,6148.0,1.488,4.132,298.31445,42.24744,Kepler
K01696.01,1.752564549,132.71889,3.503,116.6,1.38,1741.0,2174.09,6221.0,1.18,4.333,298.77509,42.39323,Kepler
K07839.01,0.566816802,131.77983,1.981,94.0,0.68,1585.0,1483.43,4665.0,0.704,4.584,292.75653,43.036888,Kepler
K01697.01,1.752553762,132.72735,3.877,414.7,1.06,933.0,178.74,4408.0,0.529,4.713,298.8222,42.394642,Kepler
K01698.01,2.065351521,133.15601,2.661,173.2,1.03,1196.0,485.51,5266.0,0.749,4.536,298.49808,42.466412,Kepler
K01699.01,2.253551793,132.4798,3.66,119.6,1.7,1812.0,2547.01,6526.0,1.426,4.217,297.12173,42.673321,Kepler
K01981.01,1.06378861,131.52465,1.072,251.5,1.61,1650.0,1761.19,5265.0,1.002,4.4,296.34103,47.17086,Kepler
K01926.01,123.11494773,172.26301,17.24,,,,,,,,299.2529,47.278999,Kepler
K01896.01,1.854493861,132.49056,4.2367,1287.3,29.39,1291.0,657.94,5431.0,0.843,4.563,298.73807,47.381741,Kepler
K07852.01,1.020713389,132.20309,0.873,102.3,0.9,1724.0,2079.36,5815.0,0.87,4.52,287.24149,43.679661,Kepler
K01763.01,2.1990638,133.06948,3.197,344.8,1.33,1087.0,330.97,5003.0,0.707,4.572,298.77988,47.66095,Kepler
K01807.01,132.1331011,149.17288,26.715,7956.2,75.08,809.0,101.41,5067.0,8.121,2.877,296.92874,47.88295,Kepler
K01999.01,1.120646438,131.59197,1.7664,322.5,89.35,2783.0,14127.22,4972.0,4.034,3.449,297.61398,47.811401,Kepler
K02653.01,1.710279417,131.61739,2.252,228.8,1.57,1524.0,1272.5,5834.0,1.023,4.472,292.71729,41.901218,Kepler
K02661.01,65.238281,158.9557,5.756,197.2,5.18,734.0,68.49,5254.0,3.761,3.506,292.74707,42.379929,Kepler
K07817.01,0.56679641,131.8085,2.324,26.7,0.46,1940.0,3349.38,5403.0,0.888,4.54,291.77136,42.671249,Kepler
K02663.01,9.88736642,139.52781,4.23,68.0,0.68,768.0,82.32,5693.0,0.816,4.57,294.99725,43.435921,Kepler
K02728.01,42.3520039,131.61246,7.773,512.6,6.3,938.0,182.91,6864.0,2.632,3.783,296.22214,39.268959,Kepler
K02742.01,0.789160884,131.50545,0.9268,215.1,0.91,1244.0,564.46,4258.0,0.622,4.635,297.07379,41.22448,Kepler
K03982.01,2.399081606,133.06425,4.384,6071.6,40.6,1360.0,810.78,5780.0,1.0,4.438,298.57697,40.490395,Kepler
K03983.01,5.14072621,135.0222,27.24,145.6,19.28,1076.0,317.19,5751.0,1.035,4.389,298.55258,47.247318,Kepler
K07829.01,0.566798545,131.8431,5.224,36.9,0.53,2004.0,3787.58,5629.0,0.87,4.553,291.67123,42.812359,Kepler
K03984.01,1.44445234,132.80685,0.9753,200.7,2.03,1800.0,2479.44,5305.0,1.449,4.088,294.38538,43.82547,Kepler
K03985.01,3.55653637,133.5172,8.7,202.5,1.7,1272.0,619.57,5950.0,1.114,4.395,297.1322,46.256489,Kepler
K03986.01,9.60853601,137.74499,3.672,584.4,31.99,984.0,221.77,6377.0,1.158,4.398,293.09589,47.996578,Kepler
K03987.01,0.933747751,131.52218,3.9236,76.6,2.07,3112.0,22250.69,6985.0,2.187,3.936,292.76535,47.512272,Kepler
K01703.01,3.17463577,132.24293,10.988,405.9,9.32,1296.0,667.65,5999.0,0.996,4.417,296.74991,42.952358,Kepler
K07840.01,0.902222843,131.7156501,2.0516,29.7,48.23,10340.0,2710661.9,3705.0,89.806,0.798,298.14603,43.075199,Kepler
K01709.01,22.4685309,148.4968,3.034,242.3,20.05,1040.0,276.85,5461.0,3.301,3.566,296.80951,43.450851,Kepler
K01712.01,10.16104834,141.51593,3.0448,908.9,2.72,800.0,96.98,5636.0,0.913,4.462,290.73578,44.090488,Kepler
K01714.01,2.743978797,133.76412,6.442,39994.0,38.11,1136.0,392.49,5334.0,0.81,4.492,294.24811,46.374008,Kepler
K01719.01,1.332561398,132.0511,4.103,150.6,2.16,2276.0,6330.12,6468.0,1.602,4.107,295.25388,46.76136,Kepler
K01963.01,12.89623554,136.82697,2.625,426.6,2.55,783.0,89.02,6072.0,0.923,4.51,290.60745,48.357182,Kepler
K07853.01,364.14397,376.4124,15.37,513.5,2.2,259.0,1.06,6039.0,0.951,4.493,288.59802,43.681469,Kepler
K01887.01,21.78769087,136.69645,4.498,507.7,71.95,1042.0,278.24,5627.0,3.05,3.633,286.46616,48.495918,Kepler
K01804.01,5.90741476,133.93511,1.016,5569.0,5.1,769.0,82.73,4963.0,0.69,4.585,290.15634,48.818989,Kepler
K01774.01,2.368173896,133.81015,2.346,10143.0,10.92,1428.0,983.51,5944.0,0.991,4.393,284.86145,49.026989,Kepler
K02015.01,5.73865933,136.91835,4.051,688.6,1.84,535.0,19.33,3841.0,0.509,4.756,292.8053,49.040459,Kepler
K01771.01,91.05641908,204.836321,6.7282,57608.0,53.1,431.0,8.13,6142.0,1.046,4.456,287.66364,49.141499,Kepler
K07818.01,2.52443998,133.77012,2.369,45.8,1.53,2145.0,4998.98,6461.0,2.225,3.846,296.40149,42.651058,Kepler
K02793.01,4.49686066,134.20642,1.7306,1932.5,1.93,535.0,19.34,3698.0,0.444,4.81,288.25058,46.679611,Kepler
K02796.01,0.5374094,131.49675,1.2039,94.2,0.96,2208.0,5646.82,5749.0,0.988,4.457,292.87418,48.936569,Kepler
K02806.01,24.7543849,140.20732,3.39,593.3,2.1,491.0,13.7,4852.0,0.804,4.519,295.73535,42.576248,Kepler
K02814.01,0.475068516,131.8191,0.8552,110.1,1.03,2372.0,7444.39,6045.0,0.955,4.494,295.51825,39.593391,Kepler
K02818.01,1.79683793,134.83029,7.911,223.3,3.37,2397.0,7783.32,7592.0,1.714,4.159,298.5798,40.072182,Kepler
K02843.01,187.51251276,178.10516,8.05,,,,,,,,295.26447,44.09856,Kepler
K03988.01,12.425484,133.99,28.0218,117.2,1.55,773.0,84.37,5478.0,1.017,4.351,297.59946,40.55901,Kepler
K02163.02,17.7838298,146.91035,3.997,247.1,1.6,729.0,66.87,6014.0,1.021,4.436,295.62659,49.130428,Kepler
K03989.01,1.204529346,131.93613,1.62,86.9,1.4,1968.0,3561.16,5340.0,1.504,4.046,296.55164,40.71278,Kepler
K03990.01,2.15839583,131.89506,8.09,352.2,14.28,1103.0,350.53,5272.0,0.662,4.659,283.0527,41.859711,Kepler
K03991.01,1.570592397,131.530377,0.623,214.4,1.37,1480.0,1135.98,5519.0,0.921,4.431,296.50354,47.486919,Kepler
K07841.01,371.1495,415.4245,15.855,597.3,2.07,245.0,0.85,5988.0,0.836,4.541,294.80182,43.13324,Kepler
K01635.01,3.374684854,131.769948,4.48335,80917.0,49.25,1163.0,432.73,5754.0,0.943,4.514,297.66129,47.62394,Kepler
K01636.01,2.61841046,136.66312,3.304,180.2,1.12,1245.0,567.24,5912.0,0.82,4.566,299.06693,47.895191,Kepler
K01638.01,4.593594819,134.889552,2.6391,1455.2,8.85,1125.0,378.37,6075.0,0.969,4.486,297.46457,48.088001,Kepler
K01639.01,125.0426,240.291,8.99,104.3,1.2,416.0,7.06,6273.0,1.139,4.364,297.90045,48.0947,Kepler
K01640.01,6.17039154,354.54497,2.116,502.9,2.17,1029.0,264.63,6137.0,0.963,4.487,297.66211,48.115898,Kepler
K01642.01,0.364860478,132.07029,1.4736,112.6,0.68,1993.0,3703.08,5220.0,0.642,4.622,298.39774,48.212318,Kepler
K01947.01,6.422943288,135.55302,1.0815,261.4,1.66,1034.0,269.8,6102.0,1.016,4.447,288.63483,50.912231,Kepler
K01983.01,6.90522317,137.02059,3.533,420.3,4.54,1343.0,768.55,6596.0,1.721,4.135,290.28619,51.834026,Kepler
K02041.01,1.5259105,132.7061,3.114,83.9,2.63,2545.0,9917.8,6640.0,2.099,3.884,295.32501,40.187576,Kepler
K02139.01,4.27121961,132.10466,2.9283,966.7,2.17,802.0,97.84,4702.0,0.67,4.602,295.00293,44.09203,Kepler
K02141.01,1.306984786,131.529128,1.194,302.1,18.33,1754.0,2230.29,6102.0,1.026,4.457,295.77194,38.820042,Kepler
K07819.01,0.769358923,131.57827,1.5364,44.8,1.93,2928.0,17335.4,5267.0,2.935,3.655,283.11136,42.76107,Kepler
K02591.01,0.755109106,132.56239,2.967,106.0,0.85,1733.0,2130.82,5452.0,0.815,4.572,284.37183,40.712971,Kepler
K02599.01,25.3239215,138.49766,70.405,1379.7,19.02,484.0,12.94,5128.0,0.668,4.6,291.40079,47.924629,Kepler
K02612.01,4.61225043,133.86134,2.695,29.1,0.51,1032.0,268.27,5495.0,0.961,4.442,297.14883,46.296951,Kepler
K02614.01,7.99022379,132.268,3.273,165.9,1.97,1113.0,361.73,5689.0,1.542,4.065,296.38882,41.040569,Kepler
K02630.01,4.1749166,134.1713,4.828,40.7,0.61,1116.0,366.59,5910.0,0.94,4.505,285.22531,49.424179,Kepler
K07830.01,0.56678694,131.82489,1.959,61.2,0.63,1920.0,3194.49,5341.0,0.808,4.496,291.82501,42.866508,Kepler
K03992.01,0.73094701,132.22433,4.223,227.7,15.83,1870.0,2886.66,5767.0,0.837,4.559,289.80423,38.370708,Kepler
K03993.01,0.686994057,131.661024,3.5252,2797.1,35.3,2063.0,4267.13,5780.0,1.0,4.438,286.10696,38.107628,Kepler
K03994.01,1.324247867,131.51043,1.4759,83.3,1.3,2140.0,4951.46,6557.0,1.406,4.251,298.0513,43.164909,Kepler
K03995.01,0.780632043,132.190835,1.4109,736.5,79.67,2714.0,12837.08,5354.0,2.18,3.754,281.57571,43.068111,Kepler
K03996.01,0.730947169,132.22192,4.396,248.0,14.43,1777.0,2349.48,5514.0,0.826,4.569,289.76114,38.353519,Kepler
K01645.01,41.16676097,158.917777,2.2133,5386.3,17.82,446.0,9.35,5193.0,0.805,4.503,298.21094,48.559158,Kepler
K01652.01,1.083736642,134.1369208,1.57912,8930.8,237.84,3641.0,41465.78,5591.0,5.618,3.227,285.30206,49.263451,Kepler
K01653.01,2.45570369,133.03195,3.1,273.8,55.95,1891.0,3017.14,5148.0,2.314,3.624,285.53549,49.298439,Kepler
K01735.01,0.64234875,131.910695,1.3699,103.7,2.78,3813.0,49846.45,7089.0,2.584,3.842,292.13745,38.599419,Kepler
K01729.01,5.204286663,135.885314,6.2598,35221.0,16.0,934.0,180.12,5332.0,0.86,4.471,291.09161,42.058479,Kepler
K01730.01,6.352090869,134.2069907,3.88771,75142.0,18.9,772.0,83.66,5089.0,0.693,4.58,300.77478,44.487751,Kepler
K02142.01,1.877350712,132.26591,1.7478,185.6,1.46,1650.0,1755.2,6382.0,1.059,4.432,296.80524,50.611061,Kepler
K02157.01,2.11552348,134.09961,6.712,359.2,21.43,1398.0,900.64,5900.0,0.951,4.509,287.18005,38.414131,Kepler
K02161.01,2.84573962,134.27578,7.28,211.7,3.63,1829.0,2645.94,5557.0,2.372,3.792,296.67761,40.65369,Kepler
K02165.01,7.01476115,136.88345,3.945,122.1,1.02,928.0,175.85,5912.0,0.87,4.501,296.8017,43.654259,Kepler
K02170.01,0.941603153,132.976171,1.1886,462.1,2.29,1608.0,1575.78,5237.0,0.837,4.481,293.06598,38.042011,Kepler
K02176.01,24.40213373,149.47431,12.57,,,,,,,,294.06879,44.574772,Kepler
K07821.01,1.13357304,131.8204,2.849,33.1,0.59,1836.0,2688.01,6147.0,0.954,4.449,291.5705,42.73772,Kepler
K02772.01,0.643468999,131.83868,1.1108,108.0,0.88,2001.0,3772.66,5670.0,0.843,4.452,293.31952,50.364262,Kepler
K02782.01,112.645961,182.99824,7.037,1957.9,35.36,377.0,4.76,5895.0,0.991,4.489,292.55612,47.329079,Kepler
K02783.01,0.526887517,131.86561,0.8971,119.9,0.58,1238.0,550.37,3945.0,0.519,4.721,293.17096,40.99559,Kepler
K02784.01,4.14244748,132.907,2.203,69.9,1.82,1907.0,3128.33,6785.0,2.124,3.83,292.05014,38.261002,Kepler
K02788.01,0.777663575,131.52537,1.1741,134.3,0.95,1816.0,2553.18,5769.0,0.812,4.57,288.03152,46.827549,Kepler
K03997.01,0.552834211,131.75468,1.2887,145.7,18.09,3107.0,21895.36,5132.0,2.648,3.675,291.22318,37.781551,Kepler
K03998.01,0.758354475,132.623984,4.56811,581780.0,149.44,3123.0,22401.95,7131.0,1.83,4.084,298.89954,43.395641,Kepler
K02167.03,76.5369531,164.15644,5.574,652.2,3.73,503.0,15.15,5596.0,1.466,4.105,291.60449,41.309361,Kepler
K03999.01,3.43525124,132.6333,4.509,152.2,25.43,1579.0,1468.73,5854.0,1.742,4.014,290.38721,37.47818,Kepler
K04000.01,0.962828092,132.20697,4.411,63.0,40.82,3553.0,37544.87,6552.0,3.44,3.594,297.72037,40.6502,Kepler
K07842.01,3.11141514,132.4992,3.074,28.4,0.7,1530.0,1296.58,6450.0,1.273,4.297,289.88666,43.233879,Kepler
K01734.01,1.878156188,136.2716,2.058,787.5,2.51,1141.0,400.37,5075.0,0.67,4.598,300.31107,45.02494,Kepler
K01987.01,7.81153999,136.33101,5.984,912.8,23.56,718.0,62.96,5150.0,0.71,4.628,292.96844,37.488689,Kepler
K01949.01,0.993488979,131.607354,1.9694,24327.0,17.9,1914.0,3172.24,5811.0,0.998,4.328,292.91891,38.206692,Kepler
K01759.01,1.334104585,132.3674913,3.14624,61691.0,44.9,1880.0,2954.64,6319.0,1.083,4.373,294.59683,38.37014,Kepler
K01994.01,2.115498574,134.11259,6.738,444.2,25.84,1432.0,995.26,5917.0,1.0,4.475,287.18961,38.43166,Kepler
K07812.01,3.40076682,131.8405,4.7,21.1,0.69,1540.0,1328.5,6134.0,1.496,4.142,291.24313,42.630169,Kepler
K02178.01,6.49676881,132.17439,2.527,135.0,3.74,1761.0,2273.36,6418.0,3.049,3.658,291.54935,37.40358,Kepler
K02184.01,2.057499811,133.31318,2.569,325.6,1.27,1037.0,273.84,4620.0,0.736,4.564,290.17502,52.220341,Kepler
K02187.01,10.5856758,136.9685,4.911,178.7,1.49,912.0,163.41,6246.0,1.092,4.433,296.64755,41.177021,Kepler
K02188.01,2.69633621,132.99538,5.238,238.6,15.78,1334.0,749.66,6106.0,0.923,4.496,283.75385,47.796951,Kepler
K02190.01,11.2580745,140.794,23.516,713.3,2.14,497.0,14.44,4257.0,0.586,4.691,286.40198,39.338799,Kepler
K07822.01,0.566795586,131.83245,4.124,39.4,0.66,2296.0,6597.1,6108.0,0.997,4.471,291.59357,42.719299,Kepler
K02847.01,1.099291188,131.50242,1.765,282.6,1.37,1414.0,947.02,4878.0,0.843,4.5,290.233,52.33601,Kepler
K02858.01,0.47462889,131.54237,1.0194,331.3,1.43,1840.0,2691.55,4904.0,0.786,4.527,284.36203,41.577549,Kepler
K02860.01,103.4269873,220.22869,5.03,950.1,3.16,416.0,7.08,6208.0,1.024,4.454,291.92255,42.00256,Kepler
K02874.01,0.352515897,132.01659,1.0525,168.2,1.0,2194.0,5534.14,5465.0,0.766,4.598,289.85889,45.503841,Kepler
K02875.01,0.299697755,132.017121,0.8473,346.9,2.03,2246.0,6005.79,5180.0,0.782,4.547,296.96381,50.74538,Kepler
K02879.01,0.339069751,131.86957,1.1516,53.2,2.09,3653.0,41863.05,5653.0,2.183,3.846,296.7019,42.508652,Kepler
K07831.01,0.56681727,131.7715,1.779,35.9,0.42,1832.0,2676.11,5481.0,0.708,4.629,291.83051,42.867729,Kepler
K04001.01,1.081935491,131.52874,5.136,202.9,0.99,1364.0,819.14,4938.0,0.718,4.569,299.04044,46.670368,Kepler
K04002.01,0.524175803,131.60105,0.7648,236.8,1.27,1891.0,3049.23,5278.0,0.815,4.576,285.33154,41.063911,Kepler
K04003.01,1.89129881,132.6639,5.294,82.0,0.86,1414.0,944.68,5806.0,0.893,4.507,290.35153,37.94857,Kepler
K04004.01,4.94330596,135.57568,2.9334,126.2,1.41,1058.0,296.74,5661.0,1.008,4.415,283.99509,39.917,Kepler
K04005.01,178.139072,210.11802,9.654,678.8,2.25,291.0,1.7,5431.0,0.879,4.496,280.80157,44.033989,Kepler
K07843.01,0.619023176,131.92817,1.496,77.9,0.79,1885.0,2985.06,5395.0,0.891,4.536,293.67114,43.217609,Kepler
K01772.01,120.00336404,250.137832,3.3803,39596.0,15.08,240.0,0.78,4315.0,0.668,4.627,292.30069,38.402142,Kepler
K01766.01,4.067371428,134.316022,5.8962,63447.0,68.81,978.0,215.71,5385.0,0.75,4.532,293.83289,38.73634,Kepler
K01903.01,1.540395781,131.99631,1.6305,173.4,0.94,1211.0,510.22,4955.0,0.735,4.592,286.95236,38.918331,Kepler
K01912.01,32.9045733,141.29325,4.402,662.3,28.34,568.0,24.63,5780.0,1.0,4.438,291.04391,39.023685,Kepler
K01811.01,2.46353343,135.3459,2.954,830.0,21.49,1171.0,445.83,5541.0,0.777,4.587,294.57605,39.03928,Kepler
K01791.01,22.91339043,140.64839,3.94,5407.0,24.11,510.0,15.94,5451.0,0.6,4.663,287.83228,39.225552,Kepler
K02192.01,1.541350116,132.32528,3.29,378.0,1.5,1273.0,619.14,5150.0,0.784,4.59,297.02771,46.874519,Kepler
K02196.01,1.205412526,131.93619,1.537,109.2,12.6,1988.0,3681.8,6292.0,1.122,4.32,293.33835,41.59024,Kepler
K02197.01,1.710316235,131.60973,3.614,409.4,23.38,1647.0,1740.08,6147.0,1.096,4.435,292.73456,41.90477,Kepler
K02198.01,23.9210408,139.07872,5.174,158.3,3.01,1020.0,255.65,7121.0,1.972,4.031,287.13028,48.665371,Kepler
K02199.01,9.03326435,137.17738,2.857,610.7,1.96,729.0,66.89,5311.0,0.788,4.588,287.53503,49.801659,Kepler
K03932.01,356.535835,433.62066,5.467,3113.0,28.27,220.0,0.55,5385.0,0.75,4.532,295.83484,41.426971,Kepler
K03933.01,3.490785878,133.10269,1.4513,336.8,1.32,1010.0,245.65,5496.0,0.725,4.618,292.13733,48.917191,Kepler
K03934.01,1.92149487,133.2283,1.891,1006.0,79.14,2382.0,7634.18,6831.0,2.247,3.959,294.34845,46.390755,Kepler
K03935.01,1.093665854,132.47213,1.4399,218.4,1.29,1681.0,1880.33,5845.0,0.874,4.541,296.9028,41.198189,Kepler
K03936.01,141.608555,190.27633,7.685,1263.1,2.98,290.0,1.68,5083.0,0.844,4.512,297.57712,40.02771,Kepler
K07832.01,3.6092231,132.463,2.8,52.4,0.68,1192.0,477.0,6032.0,0.929,4.508,293.35861,42.80666,Kepler
K04006.01,12.4247333,134.0338,16.828,40.5,1.47,1284.0,642.95,6632.0,2.193,3.86,297.72531,40.640789,Kepler
K04007.01,11.4927112,133.3086,7.764,291.5,25.01,858.0,127.97,6198.0,1.005,4.464,295.74899,44.37476,Kepler
K04008.01,70.7511986,175.37157,6.198,858.1,27.74,441.0,8.97,5771.0,0.936,4.4,287.92313,40.517269,Kepler
K02172.02,116.583183,246.6275,5.8,819.0,2.91,371.0,4.47,5738.0,0.981,4.426,295.164,39.201408,Kepler
